40,"Russia-Ukraine war: List of key events, day 54","Russia's defence ministry says it has hit a military plant outside Kyiv, as 
Moscow intensifies its attacks on the Ukrainian capital. The UK...",Al Jazeera,3 weeks ago,Russia
41,Russia-Ukraine war: What happened today (April 17),"Russia is renewing its attacks on the Kyiv region after retreating ... The 
Russian military has been unleashing a relentless assault against...",NPR,3 weeks ago,Russia
42,What Happened on Day 54 of the War in Ukraine,"Russia said it had hit hundreds of targets around Ukraine with missiles ... 
Putin honors the Russian military unit accused of mass civilian...",The New York Times,3 weeks ago,Russia
43,Timeline: Week seven of Russia’s war in Ukraine,"Timeline: Week seven of Russia's war in Ukraine. Ukrainian authorities 
expect a strong Russian offensive in the eastern Luhansk and Donetsk...",Al Jazeera,4 weeks ago,Russia
44,Western leaders pledge more military support as Russian ...,"RIGA, Latvia — After a month of fighting, the architects of Moscow's war 
against Ukraine had to explain to Russians why Kyiv had not fallen.",The Washington Post,4 weeks ago,Russia
45,Analysis: Looming battle in Donbas to shape course of ...,"... battle in Donbas to shape course of Russia's war in Ukraine ... LONDON, 
April 13 (Reuters) - Russia is beefing up its forces for a new...",Reuters,1 month ago,Russia
46,Russia-Ukraine war news,"Russian President Vladimir Putin claimed Tuesday that his invasion of 
Ukraine is going as planned and vowed to continue the war,...",The Washington Post,1 month ago,Russia
47,Hundreds of thousands flee Russia and Putin’s ‘two wars’,"The new tide of Russian migrants is huge – and rising. At least 200,000 
people left Russia in the first 10 days of the war in Ukraine, according...",Al Jazeera,3 weeks ago,Russia
48,Ukraine-Russia war: Mariupiol authorities hold 'deadly ...,"Ukraine-Russia war: Mariupiol authorities hold 'deadly epidemic' fears, UN 
chief 'shocked' as missiles hit Kyiv — as it happened.",ABC,2 weeks ago,Russia
49,What Happened on Day 68 of the War in Ukraine,"Civilians continued evacuating from Mariupol with accounts of life under 
siege. A senior U.S. diplomat warned that Russia appeared to be...",The New York Times,1 week ago,Russia
50,Russia-Ukraine war: What happened today (April 14),"Russia-Ukraine war: What happened today (April 14) · The Russian missile 
cruiser Moskva, operating in the Black Sea, has sunk, · Russia accused...",NPR,4 weeks ago,Russia
51,Russia-Ukraine war: what we know on day 51 of the invasion,"Ukraine's president, Volodymyr Zelenskiy, has praised his people's bravery 
and resolve on the 50th day of war, calling Russia's invasion...",The Guardian,4 weeks ago,Russia
52,Ukraine latest updates: Is Russia a ‘state sponsor of terrorism’?,"Military experts estimate that Russia has lost almost 3,000 pieces of 
equipment in the Ukraine war. The losses are being blamed on advanced...",Al Jazeera,4 weeks ago,Russia
53,Fiona Hill Draws Line From U.S. Insurrection to Russia's War ...,"Fiona Hill Draws Line From U.S. Insurrection to Russia's War on Ukraine. 
The former National Security Council official tells Emma Barnett that...",Bloomberg.com,4 days ago,Russia
54,Russia-Ukraine latest updates: Russia says warship has sunk,"Canada will deploy up to 150 military personnel to Poland to support 
Ukrainians fleeing Russia's war and address a growing refugee crisis,...",Al Jazeera,4 weeks ago,Russia
55,Ukraine conflict begins to resemble virtual NATO-Russia war,"However, hopes that the Russian army would be caught in a military quagmire 
in that country are fading by the day.",Frontline,4 days ago,Russia
56,"April 22, 2022 Russia-Ukraine news","I again call on the Russian Federation to stop the war,” said WHO Director 
General Tedros Adhanom Ghebreyesus.",CNN,2 weeks ago,Russia
57,Russia-Ukraine latest updates: Mariupol ‘completely cleared’,"Russian shelling kills seven people in the eastern city of Kharkiv, 
governor says. INTERACTIVE Russia Ukraine War Who controls what Day 52. 
This...",Al Jazeera,3 weeks ago,Russia
58,"Russia confirms 27 missing, one dead after sinking of flagship ...","He is the most senior Ukrainian official to visit the US since the start of 
Russia's invasion and amid its ongoing military offensive in the...",ABC,2 weeks ago,Russia
59,‘Seismic waves’: IMF cuts global growth forecast over Russia war,"The International Monetary Fund slashed its forecast for global economic 
growth by nearly a full percentage point citing Russia's war in...",Al Jazeera,3 weeks ago,Russia
60,"Russia's war is threatening the Middle East’s food security — sparking 
warnings of riots, famine, and mass migration","Russia's invasion of Ukraine is threatening global wheat and grain 
supplies, a particular risk for Middle Eastern and African countries like...",CNBC,2 weeks ago,Russia
61,Belarus President Alexander Lukashenko admits Russia's war ...,"Lukashenko's support of the war has prompted international criticism and 
sanctions against Minsk. Some Russian troops were sent from...",AP News,5 days ago,Russia
62,Live updates | Russia-Ukraine War,"POKROVSK, Ukraine — As Russian forces intensify their shelling of eastern 
Ukraine, ... Follow all AP stories on Russia's war on Ukraine at...",AP News,2 weeks ago,Russia
63,Russia-Ukraine war: What happened today (April 25),"Russia-Ukraine war: What happened today (April 25) ... As Monday draws to a 
close in Kyiv and in Moscow, here are the key developments of the day:.",NPR,2 weeks ago,Russia
64,Russia-Ukraine war: What happened today (April 13),"Russia continues to build up its military for the expected offensive in 
eastern Ukraine, including ground troops, artillery systems and...",NPR,4 weeks ago,Russia
65,Russia's war tests Europe's moral mettle as much as its ...,"They list three challenges: first, “How best to use sanctions to deter 
Russia, while limiting adverse effects on the EU economy”; second, how to...",Financial Times,6 days ago,Russia
66,Russia-Ukraine war: What happened today (April 12),"Russia-Ukraine war: What happened today (April 12) · More than 1,800 
civilians have been killed in Ukraine · A Russian convoy continues moving...",NPR,1 month ago,Russia
67,Russia-Ukraine Latest News: What Happened? Key Events ...,"Russian President Vladimir Putin launched Europe's biggest military assault 
since World War II with his Feb. 24 invasion of Ukraine,...",Bloomberg.com,1 month ago,Russia
68,Will Russia's War in Ukraine End Irish Neutrality?,"Even as Russia's war has triggered a surge of support among the country's 
fellow European Union member states for a stronger common defense...",Foreign Policy,3 weeks ago,Russia
69,How Russia's War in Ukraine Could Amplify Food Insecurity in ...,"Russia's invasion of Ukraine has jeopardized food supplies across the ... 
Several were already in dire straits when the Russia-Ukraine war...",Council on Foreign Relations,3 weeks ago,Russia
70,The Russia-Ukraine war provides an opportunity to reform the UN,"Specifically that it is unlikely they will hold Russian President Vladimir 
Putin accountable for war crimes. Still, the ongoing war provides a...",Al Jazeera,4 weeks ago,Russia
71,Russia's War in Ukraine Enters Its Decisive Moment,"The Russian military has not established, let alone maintained, control of 
the air. Russia threw three-quarters of its ground-combat forces into...",The Atlantic,1 month ago,Russia
72,Why the food crisis sparked by Russia's war hasn't hit Gulf states yet,"Abu Dhabi, UAE (CNN) When Russia's invasion of Ukraine triggered an 
international food crisis, some Middle Eastern importers were hit...",CNN,1 week ago,Russia
73,"War in Ukraine has already caused $60bn in damage. Could Russia's frozen 
assets foot the bill?","The mounting economic damage to Ukraine from Russia's ongoing bombardment 
has the US and its European allies speeding billions in aid to the...",Euronews,2 weeks ago,Russia
74,Russia-Ukraine war: What happened today (April 16),"As Ukraine investigates Russian war crimes, the U.S. and EU allies offer 
assistance. In 2001, Russian President Vladimir Putin sought to...",NPR,3 weeks ago,Russia
75,Russians who fled at outbreak of Ukraine war reluctantly go home,"Experts say the wave of Russian migration provoked by the war is unusual, 
sparked by rumours of a forced mobilisation in early March and led by...",The Guardian,3 weeks ago,Russia
76,"International Criminal Court chief prosecutor says ‘Ukraine is a crime 
scene’ after visiting Bucha – as it happened","“Responsibility for the Russian military for war crimes is inevitable. We 
will drag them all to the tribunal. And not only for what was done in...",The Guardian,4 weeks ago,Russia
77,Russia’s War in Ukraine Could Have Environmental Impact That Lasts Decades,"Russia's War in Ukraine Could Have Environmental Impact That Lasts Decades. 
Pollutants are being spread across the country, with inspectors and...",The Wall Street Journal,2 weeks ago,Russia
78,Germany announces military aid for Ukraine – as it happened,"US media is reporting senior US defence officials confirming the Russian 
warship, Moskva, was destroyed by Ukrainian missile strikes. The Moskva...",The Guardian,3 weeks ago,Russia
79,"Russian forces seize Kreminna in eastern Ukraine’s Donbas region – as it 
happened","US president, Joe Biden, will announce another military aid package for 
Ukraine roughly the same size as the $800m one the US president...",The Guardian,3 weeks ago,Russia
80,"Ukraine says mass graves in Mariupol were 20 times bigger than Bucha burial 
site; Biden to send more weapons and aid to Ukraine","This has been CNBC's live blog covering updates on the war in Ukraine. ... 
Russian President Vladimir Putin ordered his military to ditch its plan to 
storm...",CNBC,3 weeks ago,Russia
81,"Tiny, landlocked Moldova struggles to deal with the fallout of Russia's war 
on Ukraine","WASHINGTON — Russia's war on Ukraine has exposed a host of new threats for 
the tiny, landlocked nation of Moldova, which has grappled with...",CNBC,2 weeks ago,Russia
82,Ukraine War: Russia warns Sweden and Finland against Nato membership,"Before it launched its invasion, Russia demanded that the alliance agree to 
halt any future enlargement, but the war has led to the...",BBC,1 month ago,Russia
83,Bill Browder on Russia's war on Ukraine: 'It's not going to end',"The Moscow lawyer was tortured and killed in a Russian jail in 2009 after 
uncovering a massive tax-corruption scheme. Ever since Russia's full-...",Politico,1 month ago,Russia
84,Excuses for Doing Nothing: “Whataboutism” and Russia's War ...,"As if nothing has changed in principle as a result of this Russian war of 
aggression, if not extermination, against Ukraine.",e-flux,4 weeks ago,Russia
85,"Who is Russia's 'butcher of Syria,' now leading the invasion of ...","What the ruthless new commander of Russia's military in Ukraine signals for 
the war · Ukraine invasion — explained · Ukrainians navigate a...",NPR,3 weeks ago,Russia
86,Exodus swells to more than 4.5 million as battle lines shift,"Ukraine has opened 5,600 war crimes cases since Russia's invasion, top 
prosecutor Iryna Venediktova said Sunday, but the country will face an...",The Washington Post,1 month ago,Russia
87,Russia issues warning to NATO over Sweden and Finland ...,"Russia's Baltic threats are 'nothing new' says Lithuania PM. Russia's 
threat to increase its military in the Baltic region is ""nothing new"",...",ABC,4 weeks ago,Russia
88,"Civilians flee eastern Ukraine in advance of a widely forecast attack – as 
it happened","Putin also claimed Russia's military operation was going as planned, ... to 
meet Ukraine's weapons needs if the war with Russia lasts years,...",The Guardian,1 month ago,Russia
89,"The United Nations refugee agency says 4,869,019 Ukrainians had left the 
country since Russia invaded – as it happened","Russian forces, meanwhile, carried out aerial attacks near Kyiv and ... to 
cede territory in the country's east to end war with Russia.",The Guardian,3 weeks ago,Russia
90,Ukraine reveals Russian military plans for “full-scale invasion ...,"Belarus has also found itself caught up in Putin's Ukraine War. While Minsk 
has not yet contributed troops to Russia's invasion of Ukraine,...",Atlantic Council,3 weeks ago,Russia
91,Orthodox Easter: How Russia's war in Ukraine divided the ...,"How Russia's war in Ukraine is dividing the Orthodox Christian world ... 
For Russian President Vladimir Putin and his ally in the church,...",The Washington Post,2 weeks ago,Russia
92,What Happened on Day 53 of the War in Ukraine,"Moscow struck military targets around Kyiv and Mykolaiv, in apparent 
retaliation for the sinking of a Russian warship.",The New York Times,3 weeks ago,Russia
93,"AI Is Already Learning from Russia's War in Ukraine, DOD Says","Pentagon AI tools are generating battlefield intelligence for Ukraine. An 
unusable Russian tank on the Kyiv-Zhytomyr highway after Ukrainian...",Defense One,3 weeks ago,Russia
94,"In Iran, Russia's war on Ukraine is a political flash point","Hard-line President Ebrahim Raisi visited Russian President Vladimir Putin 
on one of his first trips abroad. The war also exposes deeper fault...",AP News,3 weeks ago,Russia
95,"Russia's war in Ukraine means there'll be no return to normality for 
Europe's economy","Russia's war in Ukraine means there'll be no return to normality for 
Europe's economy ... German...",CNBC,1 month ago,Russia
96,"Most Russians say they support the military, according to this ...","What do ordinary Russians think about President Vladimir Putin's invasion 
... And as Russia's war in Ukraine continues, the U.S. and other...",NPR,3 weeks ago,Russia
97,"Zelenskiy urges European countries to give up Russian oil that provides 
‘blood’ money to Moscow – as it happened","Ukraine claimed the ship has sunk, Russia denied it, ... bravery and 
resolve on the 50th day of war, calling Russia's invasion “absurd” and...",The Guardian,4 weeks ago,Russia
98,"Military transport plane reportedly brought down outside Odesa – as it 
happened","Russia had warned it would step up its missile bombardment following the 
sinking of its battleship Moskva. Russian air defence units have...",The Guardian,3 weeks ago,Russia
99,Op-ed | Russia's war could spread to space; the US should be ...,"Or Russia may be walking a cyber tightrope — seeking not to cross the line 
of an “act of war” and hazard a U.S. or NATO response.",SpaceNews,2 weeks ago,Russia
100,The Ukraine-Russia war looks very different outside the West,"Why non-Western countries tend to see Russia's war very, very differently. 
The West appears blind to its own hypocrisy and narrow interests in...",MSNBC News,1 month ago,Russia
101,"Russia-Ukraine War LIVE updates: 'Elimination' of last Mariupol troops 
would end Moscow talks, Zelenskyy says","Russia-Ukraine War LIVE updates: 'Elimination' of last Mariupol troops 
would end Moscow talks, Zelenskyy says. The elimination of the last...",Times of India,3 weeks ago,Russia
102,The Russia-Ukraine war: An opportunity for nuclear disarmament?,"The Russia-Ukraine war: An opportunity for nuclear disarmament? ... The 
Russian invasion of Ukraine is hardly the first time a nuclear power...",Al Jazeera,3 weeks ago,Russia
103,"Russia's war in Ukraine threatens to hurt billions, UN warns, as food and 
energy prices soar","Russia's war in Ukraine is already taking a dramatic toll on the world 
economy, causing disruptions to global food, energy and financial...",CNBC,4 weeks ago,Russia
104,"‘There will be no way back’: will war change Finland’s pragmatic approach 
to Russia?","But Finland shares an 830-mile land border with Russia and Lappeenranta is 
only 19 miles from the frontier – closer to Russian president...",The Guardian,3 weeks ago,Russia
105,"The United Nations calls for an investigation into violence against women 
and children in Ukraine – as it happened","Earlier on Monday evening, Ukrainian authorities claimed Russia dropped a 
... More than 5,800 cases of alleged war crimes against Russian...",The Guardian,1 month ago,Russia
106,Russia's menacing rhetoric on Ukraine ratchets up,"RIGA, Latvia — After a month of fighting, the architects of Moscow's war 
against Ukraine had to explain to Russians why Kyiv had not fallen.",The Washington Post,4 weeks ago,Russia
107,Zelenskyy accuses Russia of trying to wipe out civilians in ...,"Ukraine-Russia war updates: Zelenskyy accuses Russia of trying to wipe out 
civilians in Mariupol as Moscow claims city cleared of Ukrainian...",ABC,3 weeks ago,Russia
108,Russia’s War in Ukraine: How It Could End,"Russia has pulled its forces back from around Kiev. Putin has been talking 
about victory in defending the Russians in the Donbas from the...",The Nation,1 month ago,Russia
109,How Russia Avoided Economic Ruin Despite Sanctions,"“Individual European countries are sending military assistance to Ukraine 
but it's dwarfed by payments they're making to Russia for oil and...",Foreign Policy,2 weeks ago,Russia
110,Russia Ukraine war LIVE: US-consigned military assistance ...,"On February 24, Russia's President Vladimir Putin ordered an unforeseen 
military operation in Ukraine, accusing the erstwhile Soviet state of...",Republic World,3 weeks ago,Russia
111,Is the Russian Military a Paper Tiger?,"This week, the Russian Foreign Minister, Sergey Lavrov, announced the onset 
of what he called a new phase in his country's war on Ukraine,...",The New Yorker,3 weeks ago,Russia
112,Ukraine's neutral neighbor Moldova faces hard choices as ...,"At first, Manole thought Russian troops were attacking this small, Eastern 
European country, which is wedged between Ukraine and Romania. Manole...",NPR,3 weeks ago,Russia
113,Russia's war in Ukraine could impact German military ...,"Russia's war in Ukraine may boost German interest in military service. A 
19-year-old says she is ready to fight for her country, dismissing old...",The Washington Post,3 weeks ago,Russia
114,"Noam Chomsky, Jeremy Scahill on the Russia-Ukraine War","Russian President Vladimir Putin remains defiant and has indicated that the 
brutal military campaign will continue unabated. On Tuesday, Putin...",The Intercept,4 weeks ago,Russia
115,"Russia's tanks in Ukraine have a 'jack-in-the-box' design flaw. And the 
West has known about it since the Gulf war","Russia's tanks in Ukraine have a 'jack-in-the-box' design flaw. And the 
West has known about it since the Gulf war · Military analyst explains...",CNN,2 weeks ago,Russia
116,China’s Echoes of Russia’s Alternate Reality Intensify Around the World,"China's officials and state media are increasingly parroting Russian 
propaganda organs on the war in Ukraine, undercutting U.S. and European...",The New York Times,1 month ago,Russia
117,The U.N. Is an Enabler of Russian War Crimes,"The world was horrified by the mass killing of innocent civilians in Bucha. 
Russian soldiers violated all existing rules and laws of war, raping...",Wall Street Journal,3 weeks ago,Russia
118,How Russia's war on Ukraine endangers the global food supply,"LONDON — Russia's invasion of Ukraine has caused a ripple effect across the 
world, worsening the global food crisis. Since Feb. 24, the war...",Yahoo News,5 days ago,Russia
119,Foreign investors are ditching China. Russia's war is the latest trigger,"""China's support for the Russian invasion of Ukraine was clearly the 
catalyst for capital to leave China,"" said George Magnus, an associate...",CNN,2 weeks ago,Russia
120,"Russia's war to shrink Ukraine economy 45%, World Bank says","Unprecedented financial and export sanctions imposed by Western allies in 
response to the war, meanwhile, are plunging Russia into a deep...",ABC News,1 month ago,Russia
121,Russia Is Losing a War Against Hackers Stealing Huge ...,"Russia Is Losing a War Against Hackers Stealing Huge Amounts of Data. 
Dozens of Russian companies and government agencies have been hacked in...",The Intercept,2 weeks ago,Russia
122,When will Ukraine-Russia war end? Here's what US officials ...,"Kyiv: Seven weeks in, the Ukraine-Russia war has shown no sign of stopping. 
While peace talks continue, officials have now voiced the...",Times Now,3 weeks ago,Russia
123,What images of Russian trucks say about its military's struggles in Ukraine,"A Russian military truck with the letter 'Z', a symbol of its invasion of 
Ukraine, in the town of Armyansk, Crimea,...",CNN,4 weeks ago,Russia
124,"A top Russian propagandist says war with NATO is starting and Moscow will 
show ‘no mercy.’ Experts say the threat is ‘nonsensical’","“Not only Ukraine will have to be denazified,” warned prominent Russian TV 
host Vladimir Solovyov in a widely shared clip that echoed the...",Fortune,3 weeks ago,Russia
125,Potemkin villages: What the true story says about Putin and ...,"More recently, as Ukrainian defenses held off Russia's military ... And, 
after Russia offered to end the war in return for control of...",USA Today,2 weeks ago,Russia
126,"Natural gas surges to highest level since 2008 as Russia's war upends 
energy markets","U.S. natural gas prices surged to the highest level in more than 13 years 
Monday as Russia's war on Ukraine causes a global energy crunch...",CNBC,3 weeks ago,Russia
127,What the ruthless new commander of Russia's military signals ...,"Dvornikov, who is notoriously ruthless. AILSA CHANG, HOST: Russia's war in 
Ukraine has been devastating, but the Russian offensive has faced...",NPR,4 weeks ago,Russia
128,What to expect in the next phase of Russia's war,"Amna Nawaz: As the United States and NATO ramp up billions of dollars in 
military aid to Ukraine, there are risks to consider, mainly Russia's...",PBS,3 weeks ago,Russia
129,"Patriarch Kirill backs Putin's war, causing rift in Russian ...","Russian Orthodox leader backs war in Ukraine, divides faith. Patriarch 
Kirill has angered many priests by echoing the language Vladimir Putin...",The Washington Post,3 weeks ago,Russia
,Headlines,Summary,Press,Date,Keyword
0,"Many in South Sudan fear a return to conflict, say UN experts","... oil-rich South Sudan gained independence from Sudan in 2011 after a 
long conflict. But the country slid into civil war in December 2013,...",The National,4 hours ago,Sudan
1,UN experts: Many worry South Sudan may return to conflict,"UNITED NATIONS — Many political leaders and civilians in South Sudan are 
“deeply skeptical” a 2018 peace agreement can deliver stability to...",The Washington Post,12 hours ago,Sudan
2,Kiir and Machar: insights into South Sudan's strongmen,"From rebel fighters to political kingpins. Both Kiir and and Machar spent 
their formative years in the first and second South Sudanese civil war...",The Conversation,55 mins ago,Sudan
3,Sudan: Inter-communal conflict - Kereneik & Ag Geneina ...,"Sudan: Inter-communal conflict - Kereneik & Ag Geneina, West Darfur Flash 
Update No. 04 (9 May 2022) [EN/AR]. Format: Situation Report; Source.",ReliefWeb,1 day ago,Sudan
4,UN experts favor keeping South Sudan arms embargo,"A 2018 peace agreement ended five years of bloody civil war between 
President Salva Kiir and Vice President Riek Machar, a conflict that...",Al Arabiya,2 days ago,Sudan
5,How has the Ukraine war affected Russia's ties with Libya and ...,"Such polarization can be seen in the differing postures of Libya and Sudan, 
two countries hosting an informal Russian military presence. Libyan...",Middle East Institute,2 weeks ago,Sudan
6,Donors Urged to Dig Deep as Ukraine War Hits Syria Hard,"Washington Links Aid to Sudan to Transition to Civilian Rule ... Washington 
informed head of Sudan's Sovereign Transitional Council Abdel Fattah...",Asharq AL-awsat,4 hours ago,Sudan
7,South Sudan urges UNISFA to contain renewed Twic-Abyei ...,"South Sudan urges UNISFA to contain renewed Twic-Abyei conflict ... May 9, 
2022 (JUBA) – South Sudan on Monday urged the United Nations...",Sudan Tribune,3 hours ago,Sudan
8,"Famine in Ethiopia: the roots lie in Eritrea's long-running feud with 
Tigrayans","Both liberation movements used a lifeline through Sudan to provide aid to 
millions. They also brought in supplies essential for their war...",The Conversation,1 day ago,Sudan
9,Ukraine war fuels food crisis in distant Africa,"In Ethiopia, a civil war has pushed hundreds of thousands of people into 
famine conditions. Millions more are at risk in South Sudan,...",Reuters,2 hours ago,Sudan
10,Eritrea's Lengthy Feud With Tigrayans Fueling Famine in ...,"The war in northern Ethiopia that began in November 2020 has left ... 
supply lines to Sudan, reports Martin Plaut for The Conversation.",allAfrica.com,4 hours ago,Sudan
11,Renewed Violence in Darfur Leaves Behind an Unstable Sudan,"To the south lies the Central African Republic—a state with a very unstable 
government, which feels the fallout from the Darfur conflict. Darfur...",IDN-InDepthNews,20 hours ago,Sudan
12,Sudan Transparency and Policy Tracker: 'What Happens in ...,"In what ways does the violence relate to the October 2020 Juba Peace 
Agreement that should have brought peace to Darfur and other conflict 
areas...",Radio Dabanga,22 hours ago,Sudan
13,Pope 'looks forward' to South Sudan trip despite unrest,"A 2018 peace agreement ended five years of bloody civil war between 
President Salva Kiir and Vice President Riek Machar, a conflict that...",The National,1 day ago,Sudan
14,Darfur displacement soars as peace deal falters,"A recent wave of mass killings in Sudan's western Darfur region has ... 
while raising fears of a wider escalation in conflict as the number...",The New Humanitarian,3 hours ago,Sudan
15,South Sudan to take over oil operations in nationalization drive,"That's down from about 350,000 barrels before the war. The danger from 
floods will remain unless precautionary measures are taken, according to...",World Oil,3 days ago,Sudan
16,Washington Links Aid to Sudan to Transition to Civilian Rule,"Washington informed head of Sudan's Sovereign Transitional Council Abdel 
Fattah ... an effort to end decades of internal conflict in Sudan.",Asharq AL-awsat,5 hours ago,Sudan
17,Women and girls in South Sudan battle mounting sexual ...,"Along with her husband and four children, she has been forced to move 
around conflict-ridden Unity State to escape violence, floods and 
drought,...",ReliefWeb,3 weeks ago,Sudan
18,East Africa: Famine in Ethiopia - The Roots Lie in Eritrea's ...,"Both liberation movements used a lifeline through Sudan to provide aid to 
millions. They also brought in supplies essential for their war...",allAfrica.com,9 hours ago,Sudan
19,"TPLF wants the U.S. , United Nations to put pressure on Eritrea to stay out 
of war for “Western Tigray”","... for war but did not say if it is a war for “Western Tigray.” TPLF still 
training thousands of forces in Sudan, according to EPA report.",Borkena,1 day ago,Sudan
20,How Russia's War in Ukraine Affects Its Meddling in Africa,"In addition to Mali, Russia currently possesses a clandestine military 
presence in Libya, Sudan and the Central African Republic (CAR).",Lawfare Blog,1 week ago,Sudan
21,Uganda Cash Consortium stories: Basic needs approach ...,"She fled from her country due to conflict to seek refuge in Uganda. ... All 
this was lost to the insurgency in South Sudan.",ReliefWeb,6 hours ago,Sudan
22,– AFRICA DAY AND SUDAN'S SENSELESS ...,"In 2011, after more than 50 years of an atrocious and attritional civil war 
out of Sudan, South Sudan, Africa`s youngest country was born.",THISDAYLIVE,6 days ago,Sudan
23,"Akuch Kuol Anyieth: ‘When you grow up in mayhem, you have no choice but to 
be strong’","South Sudanese-Australian writer escaped conflict in her homeland, but the 
trauma that follows refugees is poorly understood.",The Guardian,1 day ago,Sudan
24,The Takeaway: Russia-Ukraine war spills over into Nile Dam ...,"Egypt has deepened its security ties with Sudan, a kind of leverage and 
pressure on Ethiopia. Sudan's perilous transition: Sudan's fragile...",Al-Monitor,5 days ago,Sudan
25,Ukraine war set to worsen severe hunger worldwide: UN report,"Conflict, extreme weather and economic shocks increased the number of 
people ... In Ethiopia, South Sudan, southern Madagascar and Yemen,...",Al Arabiya,6 days ago,Sudan
26,Sudan: Darfur... the Bleeding Wound,"Tribal conflicts in Sudan have transformed from a mere conflict of tribes 
over wasted resources, to a legitimate aspiration for real...",allAfrica.com,6 days ago,Sudan
27,"Aboul Gheit Stresses Importance of Maintaining Egypt, Sudan's Water Rights","Aboul Gheit Stresses Importance of Maintaining Egypt, Sudan's Water ... 
reiterated the need to resolve the Palestinian-Israeli conflict,...",Asharq AL-awsat,3 hours ago,Sudan
28,"Conflict and Food Security, May 2022 Monthly Forecast","The effects of the war in Ukraine on the global food system have ... These 
notes prompted Council meetings on South Sudan (under “any other...",Security Council Report,1 week ago,Sudan
29,South Sudan kicks off plans to nationalize oil industry,"Awou Daniel Chuang, Undersecretary in the Ministry of Petroleum told 
journalists in Juba, the capital of South Sudan, that the ministry has...",CGTN,2 days ago,Sudan
30,"The War in Ukraine Is Escalating the Global Food Crisis, and ...","Sudan imports grain. Yemen is heavily dependent on grain imports. Many of 
these countries—and others—were already in crisis and sourcing...",Tufts Now,6 days ago,Sudan
31,"Africa - Covid Has 'Pushed Back' Democracy, Ukraine War ...","Between them, Algeria, Egypt, Libya, Morocco, Tunisia, Nigeria, Ethiopia, 
Sudan and South Africa, account for 80 per cent of all wheat...",allAfrica.com,3 days ago,Sudan
32,Gold wars: Is Russia weaponising the African gold market?,"And Russia, as one of the major participants in the Sudanese gold sector in 
both legal and illegal mining operations, has allegedly become one...",Capital.com,1 week ago,Sudan
33,"Strongmen, coups, corruption drive Horn of Africa to the brink","Six months after the coup in which Sudan's junta, General Abd ... 
Ethiopia's biggest challenge remains the unresolved war in Tigray and the...",Responsible Statecraft,6 days ago,Sudan
34,Abuses by South Sudan govt amounts to ‘war crimes’: UN,"Oil-rich South Sudan gained independence from Sudan in June 2011, but has 
been engulfed in ethnic violence since December 2013, when forces...",Al Jazeera,1 month ago,Sudan
35,Sudan’s military says it seized power to prevent ‘civil war’,"Sudan's armed forces chief has defended the military's seizure of power, 
saying he had dissolved the government to avoid civil war,...",Al Jazeera,26 Oct 2021,Sudan
36,Russia ramps up ties with Sudan as Ukraine war rages,"Khartoum (AFP) – As much of the West seeks to isolate Russia after it 
invaded Ukraine, experts say Moscow is boosting relations with its...",France 24,11 Mar 2022,Sudan
37,Coup-hit Sudan at risk of civil war - Analyst,"Sudan. The African Union (AU) has said it suspended Sudan from all its 
activities after the country's military overthrew the civilian-led...",Africanews,27 Oct 2021,Sudan
38,South Sudan's Splintered Opposition: Preventing More ...,"On 16 January 2022, South Sudan's President Salva Kiir entered into a ... 
The war began in late 2013, barely two years after South Sudan won...",ReliefWeb,25 Feb 2022,Sudan
39,Ukraine war to cause acute food insecurity in Sudan,"Sudan. The war between Ukraine and Russia could mean that nearly one in two 
Sudanese could go hungry this year according to NGO Save the...",Africanews,1 month ago,Sudan
40,Moscow hosts Sudan’s Gen Dagalo amid war in Ukraine,"Sudanese Gen Mohamed Dagalo, the commander of the country's powerful Rapid 
Support Forces militia, was in Moscow on Thursday on a visit that...",The National,24 Feb 2022,Sudan
41,Darfur war crimes trial opens as army cracks down in Sudan,"Darfur war crimes trial opens as army cracks down in Sudan. Former 
Janjaweed commander Ali Muhammad Abd-al-Rahman, known as Ali Kushayb, 
faces...",The Guardian,1 month ago,Sudan
42,Sudan: Russian influence and Ukraine war stir domestic tensions,"Khartoum, Sudan – On February 23, the eve of Russia's invasion of Ukraine, 
a group of Sudanese officials landed in Moscow.",Al Jazeera,1 month ago,Sudan
43,"Sudan Faces Food Insecurity Amid Ukraine War, October ...","Almost half of Sudan's population will face hunger this year as the fallout 
from October's coup and the war in Ukraine make it more...",Bloomberg.com,15 Mar 2022,Sudan
44,Sudan: Conflict in Darfur—Flash Update No. 01 (9 December ...,"Sudan: Conflict in Darfur—Flash Update No. 01 (9 December 2021) [EN/AR]. 
Format: Situation Report; Source. OCHA. Posted: 9...",ReliefWeb,9 Dec 2021,Sudan
45,‘Unimaginable’ South Sudan violence could amount to war crimes,"'Unimaginable' South Sudan violence could amount to war crimes. Amnesty 
says fighting in Western Equatoria state this year killed dozens of...",Al Jazeera,9 Dec 2021,Sudan
46,South Sudan at a Crossroads,"Since then, the new country descended into a bloody seven-year civil war, 
and while a peace deal was inked by warring parties in 2018, fighting...",Human Rights Watch,9 Jul 2021,Sudan
47,Sudan: Conflict in West Darfur - Flash Update No 1 (27 ...,"Sudan: Conflict in West Darfur - Flash Update No 1 (27 January 2022) 
[EN/AR]. Format: Situation Report; Source. OCHA. Posted: 27 Jan 2022...",ReliefWeb,27 Jan 2022,Sudan
